Year,Sport,Event,NOC,Bronze,Gold,Silver
1896,Athletics,"Athletics Men's 1,500 metres",AUS,Data Missing,Australia,Data Missing
1896,Athletics,"Athletics Men's 1,500 metres",FRA,France,Data Missing,Data Missing
1896,Athletics,"Athletics Men's 1,500 metres",USA,Data Missing,Data Missing,USA
1896,Athletics,Athletics Men's 100 metres,GER,Data Missing,Data Missing,Germany
1896,Athletics,Athletics Men's 100 metres,HUN,Hungary,Data Missing,Data Missing
1896,Athletics,Athletics Men's 100 metres,USA,USA,USA,Data Missing
1896,Athletics,Athletics Men's 110 metres Hurdles,GBR,Data Missing,Data Missing,UK
1896,Athletics,Athletics Men's 110 metres Hurdles,USA,Data Missing,USA,Data Missing
1896,Athletics,Athletics Men's 400 metres,GBR,UK,Data Missing,Data Missing
1896,Athletics,Athletics Men's 400 metres,USA,Data Missing,USA,USA
1896,Athletics,Athletics Men's 800 metres,AUS,Data Missing,Australia,Data Missing
1896,Athletics,Athletics Men's 800 metres,GRE,Greece,Data Missing,Data Missing
1896,Athletics,Athletics Men's 800 metres,HUN,Data Missing,Data Missing,Hungary
1896,Athletics,Athletics Men's Discus Throw,GRE,Greece,Data Missing,Greece
1896,Athletics,Athletics Men's Discus Throw,USA,Data Missing,USA,Data Missing
1896,Athletics,Athletics Men's High Jump,USA,Data Missing,USA,USA
1896,Athletics,Athletics Men's Long Jump,USA,USA,USA,USA
1896,Athletics,Athletics Men's Marathon,GRE,Data Missing,Greece,Greece
1896,Athletics,Athletics Men's Marathon,HUN,Hungary,Data Missing,Data Missing
1896,Athletics,Athletics Men's Pole Vault,GRE,Greece,Data Missing,Data Missing
1896,Athletics,Athletics Men's Pole Vault,USA,Data Missing,USA,USA
1896,Athletics,Athletics Men's Shot Put,GRE,Greece,Data Missing,Greece
1896,Athletics,Athletics Men's Shot Put,USA,Data Missing,USA,Data Missing
1896,Athletics,Athletics Men's Triple Jump,FRA,Data Missing,Data Missing,France
1896,Athletics,Athletics Men's Triple Jump,GRE,Greece,Data Missing,Data Missing
1896,Athletics,Athletics Men's Triple Jump,USA,Data Missing,USA,Data Missing
1896,Cycling,"Cycling Men's 10,000 metres",AUT,Austria,Data Missing,Data Missing
1896,Cycling,"Cycling Men's 10,000 metres",FRA,Data Missing,France,France
1896,Cycling,Cycling Men's 100 kilometres,FRA,Data Missing,France,Data Missing
1896,Cycling,Cycling Men's 100 kilometres,GRE,Data Missing,Data Missing,Greece
1896,Cycling,Cycling Men's 12-Hours Race,AUT,Data Missing,Austria,Data Missing
1896,Cycling,Cycling Men's 12-Hours Race,GBR,Data Missing,Data Missing,UK
1896,Cycling,Cycling Men's 333 metres Time Trial,AUT,Austria,Data Missing,Data Missing
1896,Cycling,Cycling Men's 333 metres Time Trial,FRA,Data Missing,France,Data Missing
1896,Cycling,Cycling Men's 333 metres Time Trial,GRE,Data Missing,Data Missing,Greece
1896,Cycling,"Cycling Men's Road Race, Individual",GBR,UK,Data Missing,Data Missing
