Year,Sport,Event,Medal,Country
2008,Taekwondo,Taekwondo Men's Flyweight,Bronze,Afghanistan
2012,Taekwondo,Taekwondo Men's Featherweight,Bronze,Afghanistan
1988,Sailing,Sailing Mixed Windsurfer,Silver,Curacao
2000,Boxing,Boxing Men's Light-Welterweight,Bronze,Algeria
1996,Boxing,Boxing Men's Middleweight,Bronze,Algeria
2008,Judo,Judo Men's Middleweight,Silver,Algeria
1992,Athletics,"Athletics Women's 1,500 metres",Gold,Algeria
2008,Judo,Judo Women's Half-Lightweight,Bronze,Algeria
2000,Athletics,Athletics Men's High Jump,Bronze,Algeria
2012,Athletics,"Athletics Men's 1,500 metres",Gold,Algeria
2016,Athletics,Athletics Men's 800 metres,Silver,Algeria
2016,Athletics,"Athletics Men's 1,500 metres",Silver,Algeria
2000,Athletics,"Athletics Women's 1,500 metres",Gold,Algeria
1996,Athletics,"Athletics Men's 1,500 metres",Gold,Algeria
1984,Boxing,Boxing Men's Light-Heavyweight,Bronze,Algeria
2000,Athletics,Athletics Men's 800 metres,Bronze,Algeria
2000,Athletics,"Athletics Men's 5,000 metres",Silver,Algeria
1992,Boxing,Boxing Men's Featherweight,Bronze,Algeria
1996,Boxing,Boxing Men's Lightweight,Gold,Algeria
1984,Boxing,Boxing Men's Middleweight,Bronze,Algeria
1908,Boxing,Boxing Men's Middleweight,Silver,Australia
1908,Rugby,Rugby Men's Rugby,Gold,Australia
1908,Swimming,Swimming Men's 400 metres Freestyle,Silver,Australia
1908,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,Australia
1912,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,Australia
1912,Swimming,Swimming Women's 100 metres Freestyle,Gold,Australia
1912,Swimming,Swimming Men's 400 metres Freestyle,Bronze,Australia
1912,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,Australia
1912,Swimming,Swimming Men's 100 metres Freestyle,Silver,Australia
1908,Athletics,"Athletics Men's 3,500 metres Walk",Bronze,Australia
1912,Tennis,"Tennis Men's Singles, Covered Courts",Bronze,Australia
1912,Swimming,Swimming Women's 100 metres Freestyle,Silver,Australia
2008,Football,Football Men's Football,Gold,Argentina
2000,Hockey,Hockey Women's Hockey,Silver,Argentina
2004,Hockey,Hockey Women's Hockey,Bronze,Argentina
2008,Hockey,Hockey Women's Hockey,Bronze,Argentina
1996,Football,Football Men's Football,Silver,Argentina
2000,Sailing,Sailing Women's One Person Dinghy,Bronze,Argentina
1936,Polo,Polo Men's Polo,Gold,Argentina
1928,Fencing,"Fencing Men's Foil, Team",Bronze,Argentina
1928,Boxing,Boxing Men's Light-Heavyweight,Gold,Argentina
2004,Football,Football Men's Football,Gold,Argentina
2012,Hockey,Hockey Women's Hockey,Silver,Argentina
1932,Boxing,Boxing Men's Middleweight,Silver,Argentina
2004,Swimming,Swimming Women's 400 metres Individual Medley,Bronze,Argentina
1928,Football,Football Men's Football,Silver,Argentina
